Date,Close,High,Low,Open,Volume
2007-05-10,20.498815536499023,21.363456910250942,20.01306162261518,20.498815536499023,20007900
2007-05-11,21.227447509765625,21.76177610158639,20.52796065152262,20.52796065152262,3692100
2007-05-14,21.66462516784668,22.004653299351876,21.227447729915067,21.373173542558938,1652800
2007-05-15,20.401660919189453,21.78120187451194,20.13935340550753,21.22744280318598,2002500
2007-05-16,22.286386489868164,22.73327912905198,21.76177145812665,21.849207296750233,5229300
2007-05-17,22.35439682006836,23.364764064312155,22.28639156410056,22.67499435034817,2501800
2007-05-18,22.334964752197266,22.781859316816245,21.71320033499256,22.58755700993771,1392700
2007-05-21,22.97615623474121,23.16074321256812,22.053225051614348,22.344676614074658,1066200
2007-05-22,23.26761054992676,23.704787910522167,22.59726970674243,22.976157123192568,1476300
2007-05-23,23.21903419494629,23.89909034183334,23.12188305210472,23.56877756797436,888400
2007-05-24,22.393253326416016,23.316186447844817,21.858924794854513,23.28704054770356,1107100
2007-05-25,22.840147018432617,23.306470285413695,22.29610320695469,22.29610320695469,400100
2007-05-29,22.57784080505371,23.403622796708827,22.42239970697793,23.355048148436666,881000
2007-05-30,22.237812042236328,22.44182963547912,22.062940348886507,22.111516848708124,373400
2007-05-31,22.247528076171875,22.393253874436382,21.412032634720113,22.344679226016236,950800
2007-06-01,22.3835391998291,22.587554935612086,21.8589241312375,21.956075275754905,585100
2007-06-04,22.636131286621097,23.07331054338154,22.07265682957657,22.140663932964717,835200
2007-06-05,22.743000030517575,22.908156449378836,22.15037961230878,22.198956119623432,591500
2007-06-06,22.4515438079834,22.723564781308248,22.15037508322531,22.441828508506955,545300
2007-06-07,22.121232986450195,22.655561533696133,21.88807133748811,22.38354053640907,427200
2007-06-08,21.781206130981445,21.83949608330048,21.44117801194611,21.761775529207046,764900
2007-06-11,22.082366943359375,22.101797539763563,20.89712835775887,21.858920643722207,547300
2007-06-12,21.985219955444336,22.15037634998121,21.567473172090136,21.567473172090136,337000
2007-06-13,22.636131286621097,22.752713039425245,22.00465157919252,22.00465157919252,887600
2007-06-14,23.053878784179688,23.559063265943564,22.75271189632215,23.06359408417561,1291100
2007-06-15,24.005956649780273,24.112823099856683,22.927584260752347,23.180176509021283,2268700
2007-06-18,25.25920295715332,25.25920295715332,24.229405201587443,24.268264550267094,1625100
2007-06-19,24.78316307067871,25.69638087989298,24.384845039075422,25.647804380304784,1972600
2007-06-20,24.61800765991211,25.453504956110887,24.39456131190678,24.80259465970106,1421300
2007-06-21,24.20025634765625,24.54999970812141,23.918520081840093,24.530569109650266,714900
2007-06-22,23.52020263671875,24.00595653027845,23.49105858902776,23.85051543257967,2175000
2007-06-25,23.899091720581055,24.365415009518237,23.50077367965504,23.656214775967435,551400
2007-06-26,23.248180389404297,24.229403423877304,22.947013510468288,23.986526490186083,647100
2007-06-27,23.957378387451172,24.02538362614893,22.68470389081146,22.68470389081146,463400
2007-06-28,23.869949340820312,24.209977484032297,23.636787661961772,23.957385202017804,352500
2007-06-29,24.103107452392575,24.77344833802739,23.957381656299106,24.093392152252473,506000
2007-07-02,24.65686416625977,24.754015305109476,24.05453044079848,24.171110325015057,441700
2007-07-03,24.95803451538086,25.356352543029264,24.55000118791127,24.82202217088835,366200
2007-07-05,25.599231719970703,25.69638287368109,24.783164993610043,25.11347780442289,409300
